Players,Courts,Max Rounds,Round,1a,1b,1c,1d,,2a,2b,2c,2d,,3a,3b,3c,3d,,4a,4b,4c,4d,,5a,5b,5c,5d,,6a,6b,6c,6d,,b1,b2,b3,b4,b5,b6,
21,5,10,5,19,20,7,13,,17,5,15,9,,3,12,11,2,,18,4,10,14,,8,21,16,1,,x,x,x,x,,6,x,x,x,x,x,231
21,5,10,6,19,21,4,5,,17,13,12,1,,3,11,14,8,,16,9,2,18,,10,6,15,20,,x,x,x,x,,7,x,x,x,x,x,231
21,5,10,7,7,4,16,12,,19,17,10,21,,6,11,5,18,,8,2,15,13,,20,3,1,9,,x,x,x,x,,14,x,x,x,x,x,231
21,5,10,8,21,11,2,15,,9,13,7,10,,8,18,12,4,,20,1,5,14,,3,6,16,19,,x,x,x,x,,17,x,x,x,x,x,231
21,5,10,9,5,3,12,13,,17,4,7,11,,6,9,14,21,,10,20,2,16,,8,15,18,1,,x,x,x,x,,19,x,x,x,x,x,231
21,5,10,10,2,10,13,19,,20,11,7,17,,3,21,16,5,,15,1,9,12,,4,14,8,6,,x,x,x,x,,18,x,x,x,x,x,231
20,5,10,1,1,3,2,4,,9,11,10,12,,19,18,17,20,,7,8,5,6,,15,16,13,14,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,2,8,19,7,10,,1,17,9,3,,2,11,15,14,,4,12,18,20,,5,16,6,13,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,3,13,5,9,1,,2,17,10,8,,6,16,12,20,,3,7,14,18,,4,19,15,11,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,4,6,11,14,17,,13,7,10,4,,1,8,15,20,,2,5,12,18,,3,16,19,9,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,5,1,11,16,7,,6,15,9,18,,13,8,3,12,,2,19,17,4,,5,10,14,20,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,6,18,10,16,1,,20,5,11,3,,2,6,13,19,,4,14,9,8,,7,15,12,17,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,7,20,7,9,2,,3,15,10,6,,4,5,16,17,,8,11,13,18,,1,14,12,19,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,8,16,8,12,2,,3,19,5,15,,18,11,10,9,,7,17,20,13,,1,4,6,14,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,9,4,15,12,5,,2,7,9,14,,16,11,8,20,,1,6,10,19,,13,3,17,18,,x,x,x,x,,x,x,x,x,x,x,210
20,5,10,10,20,4,9,13,,8,18,19,14,,3,6,7,12,,11,5,1,2,,16,10,15,17,,x,x,x,x,,x,x,x,x,x,x,210
20,4,10,1,1,3,2,4,,9,11,10,12,,7,8,5,6,,15,16,13,14,,x,x,x,x,,x,x,x,x,,17,19,18,20,x,x,210
20,4,10,2,6,12,17,18,,1,15,8,19,,3,16,10,20,,5,14,13,11,,x,x,x,x,,x,x,x,x,,2,7,4,9,x,x,210
20,4,10,3,7,9,19,20,,2,5,17,15,,1,12,6,3,,4,11,18,16,,x,x,x,x,,x,x,x,x,,8,13,10,14,x,x,210
20,4,10,4,2,10,8,4,,1,7,17,13,,3,9,18,14,,5,20,19,11,,x,x,x,x,,x,x,x,x,,6,15,12,16,x,x,210
20,4,10,5,8,18,17,10,,2,13,6,19,,4,14,12,20,,7,16,15,9,,x,x,x,x,,x,x,x,x,,1,5,3,11,x,x,210
20,4,10,6,3,13,4,15,,1,10,2,12,,5,16,7,14,,8,11,6,9,,x,x,x,x,,x,x,x,x,,17,19,18,20,x,x,210
20,4,10,7,15,11,19,14,,12,5,18,13,,6,10,17,3,,1,16,8,20,,x,x,x,x,,x,x,x,x,,2,7,4,9,x,x,210
